measuredElement,measuredItemCPC,geographicAreaM49,timePointYears,Value,flagObservationStatus,flagMethod
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2013,264542,"",q
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2014,253175,"",q
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2015,277505,"",q
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2016,258445.1,"",q
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2017,286564,"",q
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2018,255100,"",h
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2019,247610,"",h
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2020,290530,"",h
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2021,270700,"",h
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2022,307500,"",h
Production (t) (5510),Cantaloupes and other melons (01229),France (250),2023,322500,"",h
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1990,336138,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1991,370637,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1992,401935,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1993,402592,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1994,426140,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1995,467198,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1996,486500,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1997,519461,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1998,476207,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),1999,506200,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2000,570700,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2001,536347,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2002,506159,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2003,569698,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2004,580268,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2005,611501,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2006,624959,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2007,616664,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2008,653309,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2009,621267,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2010,666383,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2011,536229,"",-
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2012,553478.1,"",q
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2013,585262.3,"",q
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2014,560344.1,"",q
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2015,595601,"",q
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2016,632322,"",q
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2017,605744,"",q
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2018,607970,"",h
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2019,591630,"",h
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2020,593410,"",h
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2021,607380,"",h
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2022,590230,"",h
Production (t) (5510),Cantaloupes and other melons (01229),Italy (380),2023,762580,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1990,195700,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1991,203100,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1992,212300,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1993,211000,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1994,217000,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1995,215000,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1996,215400,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1997,205400,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1998,208400,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),1999,206100,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2000,201132,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2001,177198,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2002,188735,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2003,184088,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2004,186520,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2005,182910,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2006,178421,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2007,176035,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2008,166820.3,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2009,155675.9,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2010,168605,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2011,168033,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2012,154051,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2013,161137,"",p
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2014,165884,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2015,160108,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2016,152010.7,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2017,156149.2,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2018,140900,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2019,148800,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2020,168400,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2021,187530,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2022,157520,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),France (250),2023,175880,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1990,36000,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1991,35300,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1992,30869,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1993,30860,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1994,31064,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1995,28452,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1996,27000,E,f
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1997,26000,E,f
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1998,28000,T,-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),1999,21700,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2000,37701,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2001,15713,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2002,15846,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2003,15980,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2004,16524,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2005,15477,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2006,15451,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2007,16400,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2008,15000,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2009,12365,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2010,12084,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2011,9495,"",-
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2012,6884.1,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2013,7281.6,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2014,8674.3,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2015,9226,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2016,9357,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2017,9332,"",q
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2018,10280,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2019,13650,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2020,14480,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2021,15220,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2022,13950,"",h
Production (t) (5510),Leeks and other alliaceous vegetables (01254),Italy (380),2023,13670,"",h
Production (t) (5510),Kiwi fruit (01352),France (250),1990,54380,"",-
Production (t) (5510),Kiwi fruit (01352),France (250),1991,59671,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1992,80761.5,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1993,85406.3,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1994,78613,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1995,78401.5,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1996,76056,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1997,76303.3,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1998,73291.2,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),1999,79693.2,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2000,81117.6,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2001,76799.8,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2002,74301.5,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2003,71331,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2004,75323.1,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2005,75036.7,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2006,74346.7,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2007,61326.9,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2008,65670.4,"",-
Production (t) (5510),Kiwi fruit (01352),France (250),2009,75130.4,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2010,72173.7,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2011,74838.4,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2012,67023,"",p
Production (t) (5510),Kiwi fruit (01352),France (250),2013,62312,"",q
Production (t) (5510),Kiwi fruit (01352),France (250),2014,60375,"",q
